gene,mimNumber,preferredTitle,uniprot_id
ADCK5,Not Found,Not Found,
PSKH1,177015,PROTEIN SERINE KINASE H1; PSKH1,P11801
LIMK2,601988,LIM DOMAIN KINASE 2; LIMK2,P53671
VRK2,602169,VRK SERINE/THREONINE KINASE 2; VRK2,Q86Y07
STK38,606964,SERINE/THREONINE PROTEIN KINASE 38; STK38,Q15208
PAN3,617448,PABP-DEPENDENT POLY(A) NUCLEASE 3; PAN3,Q58A45
CSNK2A3,Not Found,Not Found,
ABL2,164690,"ABL PROTOONCOGENE 2, NONRECEPTOR TYROSINE KINASE; ABL2",P42684
HUNK,606532,HORMONALLY UPREGULATED NEU-ASSOCIATED KINASE; HUNK,P57058
PRKCZ,176982,"PROTEIN KINASE C, ZETA FORM; PRKCZ",Q05513
MAP2K4,601335,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 4; MAP2K4,P45985
MAP2K7,603014,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 7; MAP2K7,O14733
DAPK1,600831,DEATH-ASSOCIATED PROTEIN KINASE 1; DAPK1,P53355
SLK,616563,STE20-LIKE PROTEIN KINASE; SLK,Q9H2G2
MAPK13,602899,MITOGEN-ACTIVATED PROTEIN KINASE 13; MAPK13,O15264
NUAK1,608130,"NUAK FAMILY, SNF1-LIKE KINASE, 1; NUAK1",O60285
FN3KRP,611683,FRUCTOSAMINE 3-KINASE-RELATED PROTEIN,Q9HA64
STK17A,604726,SERINE/THREONINE PROTEIN KINASE 17A; STK17A,Q9UEE5
CLK3,602990,CDC-LIKE KINASE 3; CLK3,P49761
RPS6KA4,603606,RIBOSOMAL PROTEIN S6 KINASE A4; RPS6KA4,O75676
BRSK1,609235,BR SERINE/THREONINE KINASE 1; BRSK1,Q8TDC3
TSSK1B,610709,TESTIS-SPECIFIC SERINE/THREONINE KINASE 1; TSSK1,Q9BXA7
GRK4,137026,G PROTEIN-COUPLED RECEPTOR KINASE 4; GRK4,P32298
RIPK3,605817,RECEPTOR-INTERACTING SERINE/THREONINE KINASE 3; RIPK3,Q9Y572
RIPK2,603455,RECEPTOR-INTERACTING SERINE/THREONINE KINASE 2; RIPK2,O43353
PRKCQ,600448,"PROTEIN KINASE C, THETA; PRKCQ",Q04759
FRK,606573,FYN-RELATED SRC FAMILY TYROSINE KINASE; FRK,P42685
CAMK1D,607957,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE I-DELTA; CAMK1D,Q8IU85
PSKH2,620394,PROTEIN SERINE KINASE H2; PSKH2,Q96QS6
SBK2,620414,"SH3 DOMAIN-BINDING KINASE FAMILY, MEMBER 2; SBK2",P0C263
TSSK4,610711,TESTIS-SPECIFIC SERINE/THREONINE KINASE 4; TSSK4,Q6SA08
ALPK2,619965,ALPHA KINASE 2; ALPK2,Q86TB3
PRKD2,607074,PROTEIN KINASE D2; PRKD2,Q9BZL6
TNK1,608076,"TYROSINE KINASE, NONRECEPTOR, 1; TNK1",Q13470
NEK3,604044,NIMA-RELATED KINASE 3; NEK3,P51956
MAST2,612257,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE 2; MAST2,Q6P0Q8
LTK,151520,LEUKOCYTE TYROSINE KINASE; LTK,P29376
NEK4,601959,NIMA-RELATED KINASE 4; NEK4,P51957
NRBP2,615563,NUCLEAR RECEPTOR-BINDING PROTEIN 2; NRBP2,Q9NSY0
PNCK,300680,"PREGNANCY-UPREGULATED, NONUBIQUITOUS, CAM KINASE; PNCK",Q6P2M8
IPMK,609851,INOSITOL POLYPHOSPHATE MULTIKINASE; IPMK,Q8NFU5
EPHA7,602190,EPHRIN RECEPTOR EphA7; EPHA7,Q15375
HIPK4,611712,HOMEODOMAIN-INTERACTING PROTEIN KINASE 4; HIPK4,Q8NE63
RPS6KA1,601684,RIBOSOMAL PROTEIN S6 KINASE A1; RPS6KA1,Q15418
AURKB,604970,AURORA KINASE B; AURKB,Q96GD4
PTK7,601890,PROTEIN-TYROSINE KINASE PTK7; PTK7,Q13308
EPHA4,602188,EPHRIN RECEPTOR EphA4; EPHA4,P54764
PRKCA,176960,"PROTEIN KINASE C, ALPHA; PRKCA",P17252
PIP4K2C,617104,"PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, GAMMA; PIP4K2C",
TSSK2,610710,TESTIS-SPECIFIC SERINE/THREONINE KINASE 2; TSSK2,Q96PF2
CSNK2A2,115442,"CASEIN KINASE II, ALPHA-2; CSNK2A2",P19784
PIP4K2A,603140,"PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, ALPHA; PIP4K2A",P48426
PIK3C3,602609,"PHOSPHATIDYLINOSITOL 3-KINASE, CLASS 3; PIK3C3",Q8NEB9
DYRK3,603497,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 3; DYRK3,O43781
STK35,609370,SERINE/THREONINE KINASE 35; STK35,Q8TDR2
MINK1,609426,MISSHAPEN/NIK-RELATED KINASE 1; MINK1,Q8N4C8
UHMK1,608849,U2AF HOMOLOGY MOTIF KINASE 1; UHMK1,Q8TAS1
GRK6,600869,G PROTEIN-COUPLED RECEPTOR KINASE 6; GRK6,P43250
MAP3K10,600137,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 10; MAP3K10,Q02779
TSSK6,610712,TESTIS-SPECIFIC SERINE/THREONINE KINASE 6; TSSK6,Q9BXA6
MAP2K3,602315,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3; MAP2K3,P46734
TTK,604092,TTK PROTEIN KINASE; TTK,P33981
MAST4,618002,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE 4; MAST4,O15021
SRMS,617797,SRC-RELATED KINASE LACKING C-TERMINAL REGULATORY TYROSINE AND N-TERMINAL MYRISTYLATION SITES; SRMS,Q9H3Y6
HIPK3,604424,HOMEODOMAIN-INTERACTING PROTEIN KINASE 3; HIPK3,Q9H422
PIP5K1B,602745,"PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE, TYPE I, BETA; PIP5K1B",O14986
PRKCI,600539,"PROTEIN KINASE C, IOTA FORM; PRKCI",P41743
MAP2K5,602520,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5; MAP2K5,
PEAK3,618526,PEAK FAMILY MEMBER 3; PEAK3,
MOK,605762,MOK PROTEIN KINASE; MOK,
STK26,300547,SERINE/THREONINE KINASE 26; STK26,
SBK3,Not Found,Not Found,
PKN3,610714,PROTEIN KINASE N3; PKN3,
EEF2K,606968,EUKARYOTIC ELONGATION FACTOR 2 KINASE; EEF2K,
CDKL3,608459,CYCLIN-DEPENDENT KINASE-LIKE 3; CDKL3,
HIPK1,608003,HOMEODOMAIN-INTERACTING PROTEIN KINASE 1; HIPK1,
MAP3K8,191195,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 8; MAP3K8,
ERN1,604033,ENDOPLASMIC RETICULUM-TO-NUCLEUS SIGNALING 1; ERN1,
GUCY2F,300041,"GUANYLATE CYCLASE 2F, RETINAL; GUCY2F",
PRKCB,176970,"PROTEIN KINASE C, BETA; PRKCB",
MAPK6,602904,MITOGEN-ACTIVATED PROTEIN KINASE 6; MAPK6,
LATS1,603473,LARGE TUMOR SUPPRESSOR KINASE 1; LATS1,
CSNK1A1,600505,"CASEIN KINASE I, ALPHA-1; CSNK1A1",
DAPK2,616567,DEATH-ASSOCIATED PROTEIN KINASE 2; DAPK2,
PAK6,608110,p21 PROTEIN-ACTIVATED KINASE 6; PAK6,
OXSR1,604046,OXIDATIVE STRESS-RESPONSIVE 1; OXSR1,
MELK,607025,MATERNAL EMBRYONIC LEUCINE ZIPPER KINASE; MELK,
PIP5K1A,603275,"PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE, TYPE I, ALPHA; PIP5K1A",
MAP3K6,604468,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 6; MAP3K6,
CAMKK2,615002,"CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE KINASE 2, BETA; CAMKK2",
STK38L,615836,SERINE/THREONINE PROTEIN KINASE 38-LIKE PROTEIN; STK38L,
PRAG1,617344,PEAK1-RELATED KINASE-ACTIVATING PSEUDOKINASE 1; PRAG1,
NIM1K,Not Found,Not Found,
ERN2,604034,ENDOPLASMIC RETICULUM-TO-NUCLEUS SIGNALING 2; ERN2,
HASPIN,609240,HISTONE H3-ASSOCIATED PROTEIN KINASE; HASPIN,
NRK,300791,NIK-RELATED KINASE; NRK,
CLK4,607969,CDC-LIKE KINASE 4; CLK4,
INSRR,147671,INSULIN RECEPTOR-RELATED RECEPTOR; INSRR,
PXK,611450,PXK DOMAIN-CONTAINING SERINE/THREONINE KINASE; PXK,
MAP3K5,602448,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5; MAP3K5,
NEK6,604884,NIMA-RELATED KINASE 6; NEK6,
PDIK1L,610785,PDLIM1-INTERACTING KINASE 1-LIKE; PDIK1L,
CLK1,601951,CDC-LIKE KINASE 1; CLK1,
MKNK2,605069,MITOGEN-ACTIVATED PROTEIN KINASE-INTERACTING SERINE/THREONINE KINASE 2; MKNK2,
MAP3K3,602539,MITOGEN-ACTIVATED KINASE KINASE KINASE 3; MAP3K3,
STK10,603919,SERINE/THREONINE PROTEIN KINASE 10; STK10,
PRKX,300083,"PROTEIN KINASE, X-LINKED; PRKX",
NPR1,108960,NATRIURETIC PEPTIDE RECEPTOR A/GUANYLATE CYCLASE A; NPR1,
CAMK1G,614994,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE IG; CAMK1G,
SRPK1,601939,SRSF PROTEIN KINASE 1; SRPK1,
GAK,602052,CYCLIN G-ASSOCIATED KINASE; GAK,
MYLK3,612147,MYOSIN LIGHT CHAIN KINASE 3; MYLK3,
ROCK1,601702,RHO-ASSOCIATED COILED-COIL-CONTAINING PROTEIN KINASE 1; ROCK1,
CDKL1,603441,CYCLIN-DEPENDENT KINASE-LIKE 1; CDKL1,
NLK,609476,NEMO-LIKE KINASE; NLK,
HYKK,614681,AMINOGLYCOSIDE PHOSPHOTRANSFERASE DOMAIN-CONTAINING PROTEIN 1; AGPHD1,
WNK2,606249,"PROTEIN KINASE, LYSINE-DEFICIENT 2; WNK2",
FN3K,608425,FRUCTOSAMINE 3-KINASE,
CSNK1A1L,Not Found,Not Found,
EPHB3,601839,EPHRIN RECEPTOR EphB3; EPHB3,
ADCK2,Not Found,Not Found,
CDK15,616147,CYCLIN-DEPENDENT KINASE 15; CDK15,
STK17B,604727,SERINE/THREONINE PROTEIN KINASE 17B; STK17B,
STK32C,Not Found,Not Found,
ACAD10,611181,"ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 10; ACAD10",
SGK1,602958,SERUM/GLUCOCORTICOID-REGULATED KINASE 1; SGK1,
STK31,605790,SERINE/THREONINE KINASE 31; STK31,
ROCK2,604002,RHO-ASSOCIATED COILED-COIL-CONTAINING PROTEIN KINASE 2; ROCK2,
CSK,124095,C-TERMINAL SRC KINASE; CSK,
MAPK3,601795,MITOGEN-ACTIVATED PROTEIN KINASE 3; MAPK3,
STK25,602255,SERINE/THREONINE PROTEIN KINASE 25; STK25,
HIPK2,606868,HOMEODOMAIN-INTERACTING PROTEIN KINASE 2; HIPK2,
PLK3,602913,POLO-LIKE KINASE 3; PLK3,
ULK4,617010,UNC51-LIKE KINASE 4; ULK4,
MAP4K1,601983,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 1; MAP4K1,
SRPK3,301002,SRSF PROTEIN KINASE 3; SRPK3,
MAP4K3,604921,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 3; MAP4K3,
EPHA5,600004,EPHRIN RECEPTOR EphA5; EPHA5,
GRK5,600870,G PROTEIN-COUPLED RECEPTOR KINASE 5; GRK5,
PIK3CB,602925,"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, BETA; PIK3CB",
MAP3K2,609487,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 2; MAP3K2,
MAP3K19,Not Found,Not Found,
CDK3,123828,CYCLIN-DEPENDENT KINASE 3; CDK3,
MYLK4,Not Found,Not Found,
IP6K2,606992,INOSITOL HEXAPHOSPHATE KINASE 2; IP6K2,
MAP3K12,600447,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 12; MAP3K12,
CSNK1E,600863,"CASEIN KINASE I, EPSILON; CSNK1E",
GRK3,109636,BETA-ADRENERGIC RECEPTOR KINASE 2; ADRBK2,
PTK6,602004,PROTEIN-TYROSINE KINASE 6; PTK6,
STK39,607648,SERINE/THREONINE PROTEIN KINASE 39; STK39,
CDK11B,176873,CYCLIN-DEPENDENT KINASE 11B; CDK11B,
TLK1,608438,TOUSLED-LIKE KINASE 1; TLK1,
EPHA3,179611,EPHRIN RECEPTOR EphA3; EPHA3,
CSNK1G2,602214,"CASEIN KINASE I, GAMMA-2; CSNK1G2",
MARK4,606495,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 4; MARK4,
STK40,609437,SERINE/THREONINE PROTEIN KINASE 40; STK40,
ACAD11,614288,"ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 11; ACAD11",
PRKAA1,602739,"PROTEIN KINASE, AMP-ACTIVATED, CATALYTIC, ALPHA-1; PRKAA1",
FER,176942,FPS/FES-RELATED TYROSINE KINASE; FER,
PKN2,602549,PROTEIN KINASE N2; PKN2,
PIP4K2B,603261,"PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, BETA; PIP4K2B",
TRIB1,609461,TRIBBLES PSEUDOKINASE 1; TRIB1,
GRK2,109635,G PROTEIN-COUPLED RECEPTOR KINASE 2; GRK2,
ACVR1C,608981,"ACTIVIN A RECEPTOR, TYPE IC; ACVR1C",
TYRO3,600341,TYRO3 PROTEIN TYROSINE KINASE; TYRO3,
CLK2,602989,CDC-LIKE KINASE 2; CLK2,
RIOK3,603579,RIO KINASE 3; RIOK3,
EPHA1,179610,EPHRIN RECEPTOR EphA1; EPHA1,
ITPKB,147522,"INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE B; ITPKB",
RIOK2,617754,RIO KINASE 2; RIOK2,
